,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
173,SoftBank Group Corp, Common Stock, J75963108, 56, 555, SH,  , OTR,  , 0, 555, 0],,,,,,,,
174,SolarEdge Technologies Inc, Common Stock, 83417M104, 376, 9,985, SH,  , SOLE,  , 9,985, 0, 0],,,,,,
175,Spark Therapeutics Inc, Common Stock, 84652J103, 7, 129, SH,  , SOLE,  , 129, 0, 0],,,,,,,,
176,Splunk Inc, Common Stock, 848637104, 43,468, 359,506, SH,  , OTR,  , 284,727, 17,042, 57,737],,,
177,Spotify Technology SA, Common Stock, L8681T102, 50,186, 277,532, SH,  , OTR,  , 210,201, 11,221, 56,110],,,
178,Square Inc, Common Stock, 852234103, 102,154, 1,031,750, SH,  , OTR,  , 757,966, 38,555, 235,229],,
179,Starbucks Corp, Common Stock, 855244109, 212, 3,727, SH,  , SOLE,  , 3,727, 0, 0],,,,,,
180,Stratasys Ltd, Common Stock, M85548101, 159,673, 6,909,266, SH,  , OTR,  , 5,075,614, 296,658, 1,536,994]
181,Stryker Corp, Common Stock, 863667101, 599, 3,370, SH,  , SOLE,  , 3,370, 0, 0],,,,,,
182,Suny Cellular Communication Lt, Common Stock, M8708U107, 515, 1,061,983, SH,  , SOLE,  , 1,061,983, 0, 0],,,,
183,Syros Pharmaceuticals Inc, Common Stock, 87184Q107, 26,462, 2,221,870, SH,  , OTR,  , 1,937,207, 23,615, 261,048],
184,Taiwan Semiconductor Manufactu, ADR, 874039100, 43,649, 988,428, SH,  , OTR,  , 855,459, 27,534, 105,435],,,
185,Taro Pharmaceutical Industries, Common Stock, M8737E108, 466, 4,743, SH,  , SOLE,  , 4,743, 0, 0],,,,,,
186,Teladoc Health Inc, Common Stock, 87918A105, 7,753, 89,791, SH,  , SOLE,  , 89,791, 0, 0],,,,,
187,Tencent Holdings Ltd, ADR, 88032Q109, 111,170, 2,722,096, SH,  , OTR,  , 2,193,489, 92,136, 436,471],
188,Teradyne Inc, Common Stock, 880770102, 64,026, 1,731,366, SH,  , OTR,  , 1,232,560, 83,196, 415,610],
189,Tesla Inc, Common Stock, 88160R101, 197,710, 746,725, SH,  , OTR,  , 710,245, 36,480, 0],,,,
190,Teva Pharmaceutical Industries, ADR, 881624209, 497, 23,063, SH,  , SOLE,  , 23,063, 0, 0],,,,,,
191,Together Startup Network Ltd, Common Stock, M1499P106, 513, 285,181, SH,  , SOLE,  , 285,181, 0, 0],,,,,,
192,Toray Industries Inc, Common Stock, J89494116, 62, 8,236, SH,  , SOLE,  , 8,236, 0, 0],,,,,,
193,Tower Semiconductor Ltd, Common Stock, M87915274, 524, 24,089, SH,  , SOLE,  , 24,089, 0, 0],,,,,,
194,Toyota Motor Corp, ADR, 892331307, 2,091, 16,816, SH,  , SOLE,  , 16,816, 0, 0],,,,,
195,Trade Me Group Ltd, Common Stock, Q9162N106, 15, 4,434, SH,  , SOLE,  , 4,434, 0, 0],,,,,,
196,TransUnion, Common Stock, 89400J107, 181, 2,456, SH,  , SOLE,  , 2,456, 0, 0],,,,,,
197,Trimble Inc, Common Stock, 896239100, 7,971, 183,417, SH,  , SOLE,  , 183,417, 0, 0],,,,,
198,Twitter Inc, Common Stock, 90184L102, 117,342, 4,123,045, SH,  , OTR,  , 3,157,494, 165,784, 799,767],
199,Ultra Clean Holdings Inc, Common Stock, 90385V107, 456, 36,310, SH,  , SOLE,  , 36,310, 0, 0],,,,,,
200,United Parcel Service Inc, Common Stock, 911312106, 603, 5,164, SH,  , SOLE,  , 5,164, 0, 0],,,,,,
201,UroGen Pharma Ltd, Common Stock, M96088105, 532, 11,258, SH,  , SOLE,  , 11,258, 0, 0],,,,,,
202,Veracyte Inc, Common Stock, 92337F107, 37,635, 3,940,804, SH,  , OTR,  , 3,913,590, 27,214, 0],,
203,Verisk Analytics Inc, Common Stock, 92345Y106, 186, 1,546, SH,  , SOLE,  , 1,546, 0, 0],,,,,,
204,Visa Inc, Common Stock, 92826C839, 180, 1,198, SH,  , SOLE,  , 1,198, 0, 0],,,,,,
205,Wirecard AG, ADR, 97654L108, 72, 663, SH,  , SOLE,  , 663, 0, 0],,,,,,,,
206,Wix.com Ltd, Common Stock, M98068105, 598, 4,992, SH,  , SOLE,  , 4,992, 0, 0],,,,,,
207,Workday Inc, Common Stock, 98138H101, 195, 1,334, SH,  , SOLE,  , 1,334, 0, 0],,,,,,
208,Xero Ltd, Common Stock, Q98665104, 51, 1,434, SH,  , SOLE,  , 1,434, 0, 0],,,,,,
209,Xilinx Inc, Common Stock, 983919101, 50,939, 635,388, SH,  , OTR,  , 510,340, 20,172, 104,876],,,
210,YY Inc, ADR, 98426T106, 3,511, 46,859, SH,  , SOLE,  , 46,859, 0, 0],,,,,
211,Zillow Group Inc, Common Stock, 98954M200, 43,708, 987,749, SH,  , OTR,  , 779,271, 36,089, 172,389],,,
212,Zuora Inc, Common Stock, 98983V106, 6,916, 299,269, SH,  , SOLE,  , 299,269, 0, 0],,,,,
